valid_from;vaccin_name;expected_or_options;date_delivery;amount_delivery
20-01-2021;BioNTech/Pfizer;expected;25-01-2021;189540
20-01-2021;BioNTech/Pfizer;expected;01-02-2021;159120
20-01-2021;BioNTech/Pfizer;expected;08-02-2021;159120
20-01-2021;BioNTech/Pfizer;expected;15-02-2021;189540
20-01-2021;BioNTech/Pfizer;expected;22-02-2021;200070
20-01-2021;BioNTech/Pfizer;expected;01-03-2021;196560
20-01-2021;BioNTech/Pfizer;expected;08-03-2021;212940
20-01-2021;BioNTech/Pfizer;expected;15-03-2021;212940
20-01-2021;BioNTech/Pfizer;expected;22-03-2021;212940
20-01-2021;BioNTech/Pfizer;expected;29-03-2021;212940
20-01-2021;Moderna;expected;25-01-2021;19200
20-01-2021;Moderna;expected;01-02-2021;0
20-01-2021;Moderna;expected;08-02-2021;48000
20-01-2021;Moderna;expected;15-02-2021;0
20-01-2021;Moderna;expected;22-02-2021;141600
20-01-2021;Moderna;expected;01-03-2021;0
20-01-2021;Moderna;expected;08-03-2021;0
20-01-2021;Moderna;expected;15-03-2021;0
20-01-2021;Moderna;expected;22-03-2021;0
20-01-2021;Moderna;expected;29-03-2021;0